,X,y,Predict
188,"[62.40686798095703, 62.40686798095703, 64.0]",[63.356258392333984],60.362755
189,"[62.40686798095703, 64.0, 63.356258392333984]",[63.356258392333984],60.404243
190,"[64.0, 63.356258392333984, 63.356258392333984]",[63.356258392333984],60.30538
191,"[63.356258392333984, 63.356258392333984, 63.356258392333984]",[63.356258392333984],60.307762
192,"[63.356258392333984, 63.356258392333984, 63.356258392333984]",[63.356258392333984],60.307762
193,"[63.356258392333984, 63.356258392333984, 63.356258392333984]",[64.0],60.307762
194,"[63.356258392333984, 63.356258392333984, 64.0]",[63.356258392333984],60.60959
195,"[63.356258392333984, 64.0, 63.356258392333984]",[63.356258392333984],60.424576
196,"[64.0, 63.356258392333984, 63.356258392333984]",[63.356258392333984],60.30538
197,"[63.356258392333984, 63.356258392333984, 63.356258392333984]",[63.356258392333984],60.307762
198,"[63.356258392333984, 63.356258392333984, 63.356258392333984]",[63.356258392333984],60.307762
199,"[63.356258392333984, 63.356258392333984, 63.356258392333984]",[64.0],60.307762
200,"[63.356258392333984, 63.356258392333984, 64.0]",[63.356258392333984],60.60959
201,"[63.356258392333984, 64.0, 63.356258392333984]",[63.356258392333984],60.424576
202,"[64.0, 63.356258392333984, 63.356258392333984]",[63.356258392333984],60.30538
203,"[63.356258392333984, 63.356258392333984, 63.356258392333984]",[63.356258392333984],60.307762
204,"[63.356258392333984, 63.356258392333984, 63.356258392333984]",[63.356258392333984],60.307762
205,"[63.356258392333984, 63.356258392333984, 63.356258392333984]",[61.0],60.307762
206,"[63.356258392333984, 63.356258392333984, 61.0]",[61.37714767456054],59.281734
207,"[63.356258392333984, 61.0, 61.37714767456054]",[61.37714767456054],59.198166
208,"[61.0, 61.37714767456054, 61.37714767456054]",[61.37714767456054],58.61489
209,"[61.37714767456054, 61.37714767456054, 61.37714767456054]",[61.37714767456054],58.73795
210,"[61.37714767456054, 61.37714767456054, 61.37714767456054]",[61.37714767456054],58.73795
211,"[61.37714767456054, 61.37714767456054, 61.37714767456054]",[58.0],58.73795
212,"[61.37714767456054, 61.37714767456054, 58.0]",[59.72925567626953],57.979122
213,"[61.37714767456054, 58.0, 59.72925567626953]",[59.72925567626953],58.13733
214,"[58.0, 59.72925567626953, 59.72925567626953]",[59.72925567626953],57.589603
215,"[59.72925567626953, 59.72925567626953, 59.72925567626953]",[59.72925567626953],57.786423
216,"[59.72925567626953, 59.72925567626953, 59.72925567626953]",[59.72925567626953],57.786423
217,"[59.72925567626953, 59.72925567626953, 59.72925567626953]",[62.0],57.786423
218,"[59.72925567626953, 59.72925567626953, 62.0]",[61.705257415771484],57.964752
219,"[59.72925567626953, 62.0, 61.705257415771484]",[61.705257415771484],58.43287
220,"[62.0, 61.705257415771484, 61.705257415771484]",[61.705257415771484],59.11746
221,"[61.705257415771484, 61.705257415771484, 61.705257415771484]",[61.705257415771484],59.025467
222,"[61.705257415771484, 61.705257415771484, 61.705257415771484]",[61.705257415771484],59.025467
223,"[61.705257415771484, 61.705257415771484, 61.705257415771484]",[64.0],59.025467
224,"[61.705257415771484, 61.705257415771484, 64.0]",[62.6802978515625],60.07083
225,"[61.705257415771484, 64.0, 62.6802978515625]",[62.6802978515625],59.81509
226,"[64.0, 62.6802978515625, 62.6802978515625]",[62.6802978515625],59.854218
227,"[62.6802978515625, 62.6802978515625, 62.6802978515625]",[62.6802978515625],59.807842
228,"[62.6802978515625, 62.6802978515625, 62.6802978515625]",[62.6802978515625],59.807842
229,"[62.6802978515625, 62.6802978515625, 62.6802978515625]",[62.6802978515625],59.807842
230,"[62.6802978515625, 62.6802978515625, 62.6802978515625]",[62.6802978515625],59.807842
231,"[62.6802978515625, 62.6802978515625, 62.6802978515625]",[62.6802978515625],59.807842
232,"[62.6802978515625, 62.6802978515625, 62.6802978515625]",[62.6802978515625],59.807842
233,"[62.6802978515625, 62.6802978515625, 62.6802978515625]",[62.6802978515625],59.807842
234,"[62.6802978515625, 62.6802978515625, 62.6802978515625]",[62.6802978515625],59.807842
235,"[62.6802978515625, 62.6802978515625, 62.6802978515625]",[58.0],59.807842
236,"[62.6802978515625, 62.6802978515625, 58.0]",[58.4588508605957],58.15124
237,"[62.6802978515625, 58.0, 58.4588508605957]",[58.4588508605957],58.449265
